name,piece,id,nevydražené,poradové_číslo,vyvolávacia_cena,konečná_cena,cena_v predaji,odhadovaná_cena,vysledok
ORMANDÍK MAREK (1968),Figúra,ORMANDÍK MAREK (1968) Figúra,NA,289,1400,NA,NA,NA,NA
ORMANDÍK MAREK (1968),Inferno,ORMANDÍK MAREK (1968) Inferno,NA,234,950,950,NA,NA,0
ORMANDÍK MAREK (1968),LXXIII. (z cyklu Svätí za dedinou),ORMANDÍK MAREK (1968) LXXIII. (z cyklu Svätí za dedinou),NA,152,900,900,NA,NA,0
ORMANDÍK MAREK (1968),Sám,ORMANDÍK MAREK (1968) Sám,NA,258,1400,NA,NA,NA,NA
ORMANDÍK MAREK (1968),Satyriáda,ORMANDÍK MAREK (1968) Satyriáda,NA,290,900,NA,NA,NA,NA
ORMANDÍK MAREK (1968),Svetlo pre peklo,ORMANDÍK MAREK (1968) Svetlo pre peklo,NA,163,700,550,NA,NA,-150
ORMANDÍK MAREK (1968),Ukrižovaný v ateliéri,ORMANDÍK MAREK (1968) Ukrižovaný v ateliéri,NA,345,650,NA,NA,NA,NA
ORMANDÍK MAREK (1968),Žltý prosebník,ORMANDÍK MAREK (1968) Žltý prosebník,NA,344,950,NA,NA,NA,NA
OSSIF VLADIMÍR (1954),Bez názvu I.,OSSIF VLADIMÍR (1954) Bez názvu I.,NA,296,1900,NA,NA,NA,NA
OSSIF VLADIMÍR (1954),Bez názvu II.,OSSIF VLADIMÍR (1954) Bez názvu II.,NA,297,700,NA,NA,NA,NA
OSSIF VLADIMÍR (1954),Kompozícia,OSSIF VLADIMÍR (1954) Kompozícia,NA,242,1e3,NA,NA,NA,NA
OTHON FRIESZ EMILE - PRIPISOVANÉ (1879 - 1949),Krajina od Piemontu,OTHON FRIESZ EMILE - PRIPISOVANÉ (1879 - 1949) Krajina od Piemontu,NA,34,NA,NA,NA,NA,NA
OVČÁČEK EDUARD (1933),Jedno,OVČÁČEK EDUARD (1933) Jedno,NA,192,3e3,NA,NA,NA,NA
OVČÁČEK EDUARD (1933),Oranžová koláž II.,OVČÁČEK EDUARD (1933) Oranžová koláž II.,NA,188,1500,NA,NA,NA,NA
OVČÁČEK EDUARD (1933),Tabule III.,OVČÁČEK EDUARD (1933) Tabule III.,NA,75,NA,5e3,NA,5 000 - 6 000 €,NA
OVČÁČEK EDUARD (1933),Zatím co se něco stane,OVČÁČEK EDUARD (1933) Zatím co se něco stane,NA,175,3e3,NA,NA,NA,NA
PÁDLY ALADÁR (1881 - 1949),Na priedomí,PÁDLY ALADÁR (1881 - 1949) Na priedomí,NA,157,600,NA,NA,NA,NA
PAEDE PAUL (1868 - 1929),Akt s vodnou fajkou,PAEDE PAUL (1868 - 1929) Akt s vodnou fajkou,NA,112,NA,NA,1 600 €,NA,NA
PALA MARTIN (1975),Býček – Zlaté teľa,PALA MARTIN (1975) Býček – Zlaté teľa,NA,196a,2500,NA,NA,NA,NA
PÁLFFY PETER (1899 - 1987),Žena s modrou stuhou vo vlasoch,PÁLFFY PETER (1899 - 1987) Žena s modrou stuhou vo vlasoch,NA,26,NA,NA,NA,NA,NA
PÁLLYA CAROLUS (1875 - 1930),Na dedinskom trhu,PÁLLYA CAROLUS (1875 - 1930) Na dedinskom trhu,NA,132,350,NA,NA,NA,NA
PÁLNAGY ZSIGMOND (1896  - 1959),Vidiecky jarmok,PÁLNAGY ZSIGMOND (1896  - 1959) Vidiecky jarmok,NA,165,500,500,NA,NA,0
Pálnagy Zsigmond (1896-1959),Kláskovanie,Pálnagy Zsigmond (1896-1959) Kláskovanie,NA,170,200,230,NA,NA,30
PALUGYAY ZOLO (1898 - 1935),Bodice,PALUGYAY ZOLO (1898 - 1935) Bodice,NA,97,3e3,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Búrlivá krajina,PALUGYAY ZOLO (1898 - 1935) Búrlivá krajina,NA,30,NA,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Chalupy,PALUGYAY ZOLO (1898 - 1935) Chalupy,NA,38,NA,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Detvan,PALUGYAY ZOLO (1898 - 1935) Detvan,NA,40,NA,11500,NA,"9 000,00 – 10 000,00 €",NA
PALUGYAY ZOLO (1898 - 1935),Golgota,PALUGYAY ZOLO (1898 - 1935) Golgota,NA,28,NA,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Jesenná krajina,PALUGYAY ZOLO (1898 - 1935) Jesenná krajina,NA,108,800,650,NA,NA,-150
PALUGYAY ZOLO (1898 - 1935),Kôpky sena,PALUGYAY ZOLO (1898 - 1935) Kôpky sena,NA,99,3e3,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Krajina,PALUGYAY ZOLO (1898 - 1935) Krajina,NA,93,1e3,800,NA,NA,-200
PALUGYAY ZOLO (1898 - 1935),Krajina od Bodíc,PALUGYAY ZOLO (1898 - 1935) Krajina od Bodíc,NA,84,1500,1200,NA,NA,-300
PALUGYAY ZOLO (1898 - 1935),Strom a chalupy,PALUGYAY ZOLO (1898 - 1935) Strom a chalupy,NA,98,800,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Štúdia lesa,PALUGYAY ZOLO (1898 - 1935) Štúdia lesa,NA,85,300,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Štúdia stromu,PALUGYAY ZOLO (1898 - 1935) Štúdia stromu,NA,86,300,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Symbolika,PALUGYAY ZOLO (1898 - 1935) Symbolika,NA,94,800,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Večer,PALUGYAY ZOLO (1898 - 1935) Večer,NA,31,NA,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Zbojník,PALUGYAY ZOLO (1898 - 1935) Zbojník,NA,94,800,NA,NA,NA,NA
PALUGYAY ZOLO (1898 - 1935),Žena a kvet,PALUGYAY ZOLO (1898 - 1935) Žena a kvet,NA,39,NA,9e3,NA,"9 000,00 – 10 000,00 €",NA
PAP EMIL (1884 - 1945),Dievča s košíkom jabĺk,PAP EMIL (1884 - 1945) Dievča s košíkom jabĺk,NA,103,600,500,NA,NA,-100
PAP EMIL (1884 - 1945),Kuchynské dvere,PAP EMIL (1884 - 1945) Kuchynské dvere,NA,147,700,NA,NA,NA,NA
PAPP SÁNDOR (1868 - 1937),Mladá žena s jabĺčkami,PAPP SÁNDOR (1868 - 1937) Mladá žena s jabĺčkami,NA,131,700,NA,NA,NA,NA
PAŠTÉKA MILAN  (1931 - 1998),Torzo II.,PAŠTÉKA MILAN  (1931 - 1998) Torzo II.,NA,68,NA,NA,17 000 €,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Akt,PAŠTÉKA MILAN (1931 - 1998) Akt,NA,239,600,900,NA,NA,300
PAŠTÉKA MILAN (1931 - 1998),Anjel,PAŠTÉKA MILAN (1931 - 1998) Anjel,NA,270,800,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Bez názvu,PAŠTÉKA MILAN (1931 - 1998) Bez názvu,NA,59,NA,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Dvaja s koňom,PAŠTÉKA MILAN (1931 - 1998) Dvaja s koňom,NA,70,NA,7700,NA,"7 000,00 - 9 000,00 €",NA
PAŠTÉKA MILAN (1931 - 1998),Dvaja s vázou,PAŠTÉKA MILAN (1931 - 1998) Dvaja s vázou,NA,271,500,450,NA,NA,-50
PAŠTÉKA MILAN (1931 - 1998),Dve figúry,PAŠTÉKA MILAN (1931 - 1998) Dve figúry,NA,230,1500,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Figurálne štúdie,PAŠTÉKA MILAN (1931 - 1998) Figurálne štúdie,NA,294,100,190,NA,NA,90
PAŠTÉKA MILAN (1931 - 1998),Hostia,PAŠTÉKA MILAN (1931 - 1998) Hostia,NA,62,NA,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Kompozícia,PAŠTÉKA MILAN (1931 - 1998) Kompozícia,NA,232,NA,180,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Krajina,PAŠTÉKA MILAN (1931 - 1998) Krajina,NA,77,NA,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Ležiaci akt - Torzo,PAŠTÉKA MILAN (1931 - 1998) Ležiaci akt - Torzo,NA,240,500,500,NA,NA,0
PAŠTÉKA MILAN (1931 - 1998),Muž a žena,PAŠTÉKA MILAN (1931 - 1998) Muž a žena,NA,233,500,500,NA,NA,0
PAŠTÉKA MILAN (1931 - 1998),Na stoličke,PAŠTÉKA MILAN (1931 - 1998) Na stoličke,NA,198,1500,1500,NA,NA,0
PAŠTÉKA MILAN (1931 - 1998),Osamelí,PAŠTÉKA MILAN (1931 - 1998) Osamelí,NA,162,600,600,NA,NA,0
PAŠTÉKA MILAN (1931 - 1998),Radosti,PAŠTÉKA MILAN (1931 - 1998) Radosti,NA,297,150,150,NA,NA,0
PAŠTÉKA MILAN (1931 - 1998),Samota,PAŠTÉKA MILAN (1931 - 1998) Samota,NA,298,200,200,NA,NA,0
PAŠTÉKA MILAN (1931 - 1998),Sediaca,PAŠTÉKA MILAN (1931 - 1998) Sediaca,NA,292,1400,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Štyri figúry,PAŠTÉKA MILAN (1931 - 1998) Štyri figúry,NA,58,NA,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Torzo,PAŠTÉKA MILAN (1931 - 1998) Torzo,NA,260,3e3,2400,NA,NA,-600
PAŠTÉKA MILAN (1931 - 1998),Traja v interiéri,PAŠTÉKA MILAN (1931 - 1998) Traja v interiéri,NA,223,1200,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),V izbe,PAŠTÉKA MILAN (1931 - 1998) V izbe,NA,231,350,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Z cyklu Kráľ Ubu,PAŠTÉKA MILAN (1931 - 1998) Z cyklu Kráľ Ubu,NA,172,1e3,1e3,NA,NA,0
PAŠTÉKA MILAN (1931 - 1998),"Zátišie s mlynčekom, fľašou a jablkom","PAŠTÉKA MILAN (1931 - 1998) Zátišie s mlynčekom, fľašou a jablkom",NA,171,7500,7500,NA,NA,0
PAŠTÉKA MILAN (1931 - 1998),Zátišie so svietnikom a ovocím,PAŠTÉKA MILAN (1931 - 1998) Zátišie so svietnikom a ovocím,NA,221,7e3,NA,NA,NA,NA
PAŠTÉKA MILAN (1931 - 1998),Žltá dedina,PAŠTÉKA MILAN (1931 - 1998) Žltá dedina,NA,78,NA,NA,NA,NA,NA
PAULOVIČ EMIL (1922 - 2004),Kytica ruží,PAULOVIČ EMIL (1922 - 2004) Kytica ruží,NA,22,80,110,NA,NA,30
PAULOVIČ EMIL (1922 - 2004),Kytica v keramickom džbáne,PAULOVIČ EMIL (1922 - 2004) Kytica v keramickom džbáne,NA,13,500,500,NA,NA,0
PAULOVIČ EMIL (1922 - 2004),Milenci,PAULOVIČ EMIL (1922 - 2004) Milenci,NA,43,120,NA,NA,NA,NA
PAVLE IVAN (1955),Hippo,PAVLE IVAN (1955) Hippo,NA,57,1500,NA,NA,NA,NA
PAVLE IVAN (1955),Kompozícia,PAVLE IVAN (1955) Kompozícia,NA,249,1200,NA,NA,NA,NA
PAVLE IVAN (1955),Nebo nad hlavou,PAVLE IVAN (1955) Nebo nad hlavou,NA,192,500,1050,NA,NA,550
PAVLE IVAN (1955),Spomienka na Babylon,PAVLE IVAN (1955) Spomienka na Babylon,NA,34,2500,2500,NA,NA,0
PAVLE IVAN (1955),Trofej,PAVLE IVAN (1955) Trofej,NA,32,2500,NA,NA,NA,NA
PÉCZELY ANTAL ÁRON (1891 - 1963),Adam a Eva,PÉCZELY ANTAL ÁRON (1891 - 1963) Adam a Eva,NA,148,900,NA,NA,NA,NA
PÉCZELY ANTAL ÁRON (1891 - 1963),Opantaní krásou,PÉCZELY ANTAL ÁRON (1891 - 1963) Opantaní krásou,NA,118,1300,1050,NA,NA,-250
PÉCZELY ANTAL ÁRON (1891 - 1963),Piknik,PÉCZELY ANTAL ÁRON (1891 - 1963) Piknik,NA,154,510,510,NA,NA,0
PÉCZELY ANTAL ÁRON (1891 - 1963),V kostole,PÉCZELY ANTAL ÁRON (1891 - 1963) V kostole,NA,149,800,NA,NA,NA,NA
PÉCZELY ANTAL ÁRON (1891 - 1963),Židovský starožitník,PÉCZELY ANTAL ÁRON (1891 - 1963) Židovský starožitník,NA,167,950,950,NA,NA,0
PELESKEY ZELLER MIHÁLY (XIX. - XX.),Letná krajina,PELESKEY ZELLER MIHÁLY (XIX. - XX.) Letná krajina,NA,155,800,NA,NA,NA,NA
PENTELEI-MOLNÁR JÁNOS (1878 - 1924),Zátišie so starožitným porcelánom,PENTELEI-MOLNÁR JÁNOS (1878 - 1924) Zátišie so starožitným porcelánom,NA,166,800,NA,NA,NA,NA
PERLROTT CSABA VILMOS (1880 - 1950),Snímanie z kríža,PERLROTT CSABA VILMOS (1880 - 1950) Snímanie z kríža,NA,160,1200,950,NA,NA,-250
PERLROTT-CSABA VILMOS (1880 - 1950),Krajina pri Levoči,PERLROTT-CSABA VILMOS (1880 - 1950) Krajina pri Levoči,NA,46,NA,NA,NA,NA,NA
PESKE GÉZA (1859 - 1934),Chlapec s hroznom,PESKE GÉZA (1859 - 1934) Chlapec s hroznom,NA,136,890,NA,NA,NA,NA
PESKE GÉZA (1859 - 1934),Chlapec s húskou,PESKE GÉZA (1859 - 1934) Chlapec s húskou,NA,147,1e3,1e3,NA,NA,0
PESKE GÉZA (1859 - 1934),Dievčatko s mačkou,PESKE GÉZA (1859 - 1934) Dievčatko s mačkou,NA,149,1500,1500,NA,NA,0
PETERSEN H. (XIX. - XX.),V krčme,PETERSEN H. (XIX. - XX.) V krčme,NA,176,900,900,NA,NA,0
PHEBY ANDY (1966),All Those Wasted Years,PHEBY ANDY (1966) All Those Wasted Years,NA,150,850,NA,NA,NA,NA
PIAČKA IGOR (1962),Extáza,PIAČKA IGOR (1962) Extáza,NA,37,2400,NA,NA,NA,NA
PIAČKA IGOR (1962),Nekonečno,PIAČKA IGOR (1962) Nekonečno,NA,270,2500,2e3,NA,NA,-500
PICASSO PABLO – PODĽA (1881 - 1973),Koza,PICASSO PABLO – PODĽA (1881 - 1973) Koza,NA,233,1200,NA,NA,NA,NA
PICASSO PABLO (1881 - 1973 PODĽA),Hlava muža,PICASSO PABLO (1881 - 1973 PODĽA) Hlava muža,NA,199,1200,NA,NA,NA,NA
PICASSO PABLO (1881 - 1973 PODĽA),Koza,PICASSO PABLO (1881 - 1973 PODĽA) Koza,NA,200,800,800,NA,NA,0
PICCIOLE J. M. (XIX. – XX..),Odvážny školáčik,PICCIOLE J. M. (XIX. – XX..) Odvážny školáčik,NA,167,220,NA,NA,NA,NA
PIGUS (XIX. - XX.),V talianskom mestečku,PIGUS (XIX. - XX.) V talianskom mestečku,NA,235,300,500,NA,NA,200
PÍSAŘÍK PETR  (1968),Bez názvu,PÍSAŘÍK PETR  (1968) Bez názvu,NA,86,NA,4e3,NA,4 000 – 5 000 €,NA
PITTHORDT ĽUDOVÍT (1860 - 1946),Akt,PITTHORDT ĽUDOVÍT (1860 - 1946) Akt,NA,80,800,NA,NA,NA,NA
PITTHORDT ĽUDOVÍT (1860 - 1946),Sediaci akt,PITTHORDT ĽUDOVÍT (1860 - 1946) Sediaci akt,NA,68,500,400,NA,NA,-100
PITTHORDT ĽUDOVÍT (1860 - 1946),Skica krajiny,PITTHORDT ĽUDOVÍT (1860 - 1946) Skica krajiny,NA,81,500,NA,NA,NA,NA
PITUK JOZEF VIKTORIÁN (1906 - 1991),Dve dievčatá,PITUK JOZEF VIKTORIÁN (1906 - 1991) Dve dievčatá,NA,18,600,600,NA,NA,0
PLASSAN EMILE ANTOINE (1817 - 1903),Krajina s domácimi zvieratami,PLASSAN EMILE ANTOINE (1817 - 1903) Krajina s domácimi zvieratami,NA,151,1200,NA,NA,NA,NA
POERTZEL HUGO OTTO  - Pripisované (1876 - 1963),Busta mladíka s vavrínovým vencom,POERTZEL HUGO OTTO  - Pripisované (1876 - 1963) Busta mladíka s vavrínovým vencom,NA,159,1600,1600,NA,NA,0
POLAKOVIČ DUŠAN (1950),Happy Birthday,POLAKOVIČ DUŠAN (1950) Happy Birthday,NA,253,350,280,NA,NA,-70
POLAKOVIČ DUŠAN (1950),His Master´s Voice,POLAKOVIČ DUŠAN (1950) His Master´s Voice,NA,259,50,NA,NA,NA,NA
POLKORÁB ŠTEFAN (1896 - 1951),Bratislava,POLKORÁB ŠTEFAN (1896 - 1951) Bratislava,NA,7,1200,1650,NA,NA,450
POLLÁG PETER (1958),Dostihy,POLLÁG PETER (1958) Dostihy,NA,252,150,NA,NA,NA,NA
POLÓNYI KAROL (1894 - 1946),Jar v Tatrách,POLÓNYI KAROL (1894 - 1946) Jar v Tatrách,NA,11,1100,NA,NA,NA,NA
POLÓNYI KAROL (1894 - 1946),Na tatranskom úbočí,POLÓNYI KAROL (1894 - 1946) Na tatranskom úbočí,NA,8,180,180,NA,NA,0
POLÓNYI KAROL (1894 - 1946),Pohľad na Vysoké Tatry (Tupá – Končistá - Gerlach),POLÓNYI KAROL (1894 - 1946) Pohľad na Vysoké Tatry (Tupá – Končistá - Gerlach),NA,10,1450,NA,NA,NA,NA
POLÓNYI KAROL (1894 - 1946),Pohľad na Vysoké Tatry (Tupá-Končistá-Gerlach),POLÓNYI KAROL (1894 - 1946) Pohľad na Vysoké Tatry (Tupá-Končistá-Gerlach),NA,4,900,700,NA,NA,-200
POLÓNYI KAROL (1894 - 1946),Pri hrabaní,POLÓNYI KAROL (1894 - 1946) Pri hrabaní,NA,4,500,500,NA,NA,0
POLÓNYI KAROL (1894 - 1946),Tatry v zime,POLÓNYI KAROL (1894 - 1946) Tatry v zime,NA,5,450,450,NA,NA,0
POLÓNYI KAROL (1894 - 1946),Zasnežené Tatry,POLÓNYI KAROL (1894 - 1946) Zasnežené Tatry,NA,1,200,300,NA,NA,100
POPOVIČ VLADIMÍR  (1939),Autostoppiste,POPOVIČ VLADIMÍR  (1939) Autostoppiste,NA,75,NA,4200,NA,4 000 – 5 000 €,NA
POPOVIČ VLADIMÍR (1939),Aleja s rebríkom,POPOVIČ VLADIMÍR (1939) Aleja s rebríkom,NA,224,2600,NA,NA,NA,NA
POPOVIČ VLADIMÍR (1939),Betónová sonáta II.,POPOVIČ VLADIMÍR (1939) Betónová sonáta II.,NA,85,NA,NA,NA,NA,NA
POPOVIČ VLADIMÍR (1939),Erotický motív,POPOVIČ VLADIMÍR (1939) Erotický motív,NA,222,650,520,NA,NA,-130
POPOVIČ VLADIMÍR (1939),Helene - bielemu zjaveniu,POPOVIČ VLADIMÍR (1939) Helene - bielemu zjaveniu,NA,242,550,150,NA,NA,-400
POPOVIČ VLADIMÍR (1939),Kresba ako fenomén,POPOVIČ VLADIMÍR (1939) Kresba ako fenomén,NA,75,NA,NA,NA,NA,NA
POPOVIČ VLADIMÍR (1939),Míľnik (Monštrá pre Danubius),POPOVIČ VLADIMÍR (1939) Míľnik (Monštrá pre Danubius),NA,72,NA,6e3,NA,"6 000,00 – 8 000,00 €",NA
POPOVIČ VLADIMÍR (1939),Na pláži,POPOVIČ VLADIMÍR (1939) Na pláži,NA,228,450,NA,NA,NA,NA
POPOVIČ VLADIMÍR (1939),Noc,POPOVIČ VLADIMÍR (1939) Noc,NA,57,NA,NA,NA,NA,NA
POPOVIČ VLADIMÍR (1939),Rebrík,POPOVIČ VLADIMÍR (1939) Rebrík,NA,223,600,NA,NA,NA,NA
POPOVIČ VLADIMÍR (1939),"Vajce, ktoré nelevituje","POPOVIČ VLADIMÍR (1939) Vajce, ktoré nelevituje",NA,56,NA,4500,NA,5 000 - 8 000 €,NA
POPOVIČ VLADIMÍR (1939),"Z cyklu ""Pred a po"".","POPOVIČ VLADIMÍR (1939) Z cyklu ""Pred a po"".",NA,321,2800,NA,NA,NA,NA
POPOVIČ VLADIMÍR (1939),Znamenie nevidím,POPOVIČ VLADIMÍR (1939) Znamenie nevidím,NA,227,4e3,3200,NA,NA,-800
PÖRGE GERGELY (1858 - 1930),Výjav z pusty,PÖRGE GERGELY (1858 - 1930) Výjav z pusty,NA,157,200,NA,NA,NA,NA
POSUDEVSKY SLAVA (1963),Kompozícia,POSUDEVSKY SLAVA (1963) Kompozícia,NA,245,50,NA,NA,NA,NA
POTOČEK PAVOL (1925 - 2012),Červená váza,POTOČEK PAVOL (1925 - 2012) Červená váza,NA,19,350,NA,NA,NA,NA
POTOČEK PAVOL (1925 - 2012),Chalupy,POTOČEK PAVOL (1925 - 2012) Chalupy,NA,28,500,NA,NA,NA,NA
POTOČEK PAVOL (1925 - 2012),Kaplička,POTOČEK PAVOL (1925 - 2012) Kaplička,NA,15,330,380,NA,NA,50
POTOČEK PAVOL (1925 - 2012),Kvašovčiare,POTOČEK PAVOL (1925 - 2012) Kvašovčiare,NA,23,350,400,NA,NA,50
POTOČEK PAVOL (1925 - 2012),Myjavské stodoly,POTOČEK PAVOL (1925 - 2012) Myjavské stodoly,NA,16,330,380,NA,NA,50
POTOČEK PAVOL (1925 - 2012),Na priedomí,POTOČEK PAVOL (1925 - 2012) Na priedomí,NA,22,290,350,NA,NA,60
POTOČEK PAVOL (1925 - 2012),Píšťalôčka tenká,POTOČEK PAVOL (1925 - 2012) Píšťalôčka tenká,NA,34,290,290,NA,NA,0
POTOČEK PAVOL (1925 - 2012),Plodný stôl,POTOČEK PAVOL (1925 - 2012) Plodný stôl,NA,40,500,NA,NA,NA,NA
POTOČEK PAVOL (1925 - 2012),Príprava na zimu,POTOČEK PAVOL (1925 - 2012) Príprava na zimu,NA,33,330,NA,NA,NA,NA
POTOČEK PAVOL (1925 - 2012),"Sadaj slnko, sadaj","POTOČEK PAVOL (1925 - 2012) Sadaj slnko, sadaj",NA,14,290,290,NA,NA,0
POTOČEK PAVOL (1925 - 2012),Samota,POTOČEK PAVOL (1925 - 2012) Samota,NA,32,330,380,NA,NA,50
POTOČEK PAVOL (1925 - 2012),Siut Chiol,POTOČEK PAVOL (1925 - 2012) Siut Chiol,NA,24,290,290,NA,NA,0
POTOČEK PAVOL (1925 - 2012),Z Kysúc,POTOČEK PAVOL (1925 - 2012) Z Kysúc,NA,23,290,290,NA,NA,0
POTOČEK PAVOL (1925 - 2012),Zátišie,POTOČEK PAVOL (1925 - 2012) Zátišie,NA,41,500,NA,NA,NA,NA
POTOČEK PAVOL (1925 - 2012),Zátišie s dvoma džbánmi,POTOČEK PAVOL (1925 - 2012) Zátišie s dvoma džbánmi,NA,30,650,NA,NA,NA,NA
POVAŽAN JÚLIUS (1926 - 2011),Práce na dedine,POVAŽAN JÚLIUS (1926 - 2011) Práce na dedine,NA,59,600,1500,NA,NA,900
POVAŽAN JÚLIUS (1926 - 2011),Svadba,POVAŽAN JÚLIUS (1926 - 2011) Svadba,NA,58,650,NA,NA,NA,NA
PRATELLA ATTILIO (1856 - 1949),Da Mergellina,PRATELLA ATTILIO (1856 - 1949) Da Mergellina,NA,156,1500,NA,NA,NA,NA
PREISSIG VOJTĚCH (1873 - 1944),"Návrh obálky casopisu ""The Munsey""","PREISSIG VOJTĚCH (1873 - 1944) Návrh obálky casopisu ""The Munsey""",NA,73,NA,NA,NA,NA,NA
PROCHÁZKA ANTONÍN (1882 - 1945),Žena s džbánom,PROCHÁZKA ANTONÍN (1882 - 1945) Žena s džbánom,NA,123,NA,NA,1 600 €,NA,NA
PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Golgota,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976) Golgota,NA,46,NA,1e4,NA,12 000 - 16 000 €,NA
PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Krčma v Šamoríne,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976) Krčma v Šamoríne,NA,71,2500,2500,NA,NA,0
PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Na dedinskom dvore,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976) Na dedinskom dvore,NA,75,1800,NA,NA,NA,NA
PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Na dvore,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976) Na dvore,NA,79,2800,NA,NA,NA,NA
PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Na hospodárskom dvore,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976) Na hospodárskom dvore,NA,53,NA,NA,NA,NA,NA
PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),S koňom,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976) S koňom,NA,62,NA,5e3,NA,"7 000,00 - 10 000,00 €",NA
PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976),Vojna,PROHÁSZKA-TALLÓS ŠTEFAN (1896 - 1976) Vojna,NA,44,NA,6e3,NA,"6 000,00 - 7 000,00 €",NA
PROKOP ŠTEFAN (1941 - 1987),Imaginárna pevnosť,PROKOP ŠTEFAN (1941 - 1987) Imaginárna pevnosť,NA,202,3e3,2400,NA,NA,-600
PROKOP ŠTEFAN (1941 - 1987),Sen,PROKOP ŠTEFAN (1941 - 1987) Sen,NA,273,2e3,NA,NA,NA,NA
PRŮCHA Gustav (1875 - 1952),Kvetinový trh v prístave,PRŮCHA Gustav (1875 - 1952) Kvetinový trh v prístave,NA,206,1800,2300,NA,NA,500
PRUKNER ŠTEFAN (1931 - 2011),Bakchanálie,PRUKNER ŠTEFAN (1931 - 2011) Bakchanálie,NA,228,350,NA,NA,NA,NA
PRUKNER ŠTEFAN (1931 - 2011),Banská Bystrica - Traja králi,PRUKNER ŠTEFAN (1931 - 2011) Banská Bystrica - Traja králi,NA,192,600,500,NA,NA,-100
PRUKNER ŠTEFAN (1931 - 2011),Búrlivá krajina,PRUKNER ŠTEFAN (1931 - 2011) Búrlivá krajina,NA,197,600,600,NA,NA,0
PRUKNER ŠTEFAN (1931 - 2011),Daždivá dedina,PRUKNER ŠTEFAN (1931 - 2011) Daždivá dedina,NA,197,450,350,NA,NA,-100
PRUKNER ŠTEFAN (1931 - 2011),Dedina I.,PRUKNER ŠTEFAN (1931 - 2011) Dedina I.,NA,257,500,700,NA,NA,200
PRUKNER ŠTEFAN (1931 - 2011),Dedina II.,PRUKNER ŠTEFAN (1931 - 2011) Dedina II.,NA,258,500,400,NA,NA,-100
PRUKNER ŠTEFAN (1931 - 2011),Démoni,PRUKNER ŠTEFAN (1931 - 2011) Démoni,NA,212,600,2800,NA,NA,2200
PRUKNER ŠTEFAN (1931 - 2011),Dvaja v zimnom lese,PRUKNER ŠTEFAN (1931 - 2011) Dvaja v zimnom lese,NA,193,650,650,NA,NA,0
PRUKNER ŠTEFAN (1931 - 2011),Hora,PRUKNER ŠTEFAN (1931 - 2011) Hora,NA,25,400,NA,NA,NA,NA
PRUKNER ŠTEFAN (1931 - 2011),Inferno,PRUKNER ŠTEFAN (1931 - 2011) Inferno,NA,254,800,650,NA,NA,-150
PRUKNER ŠTEFAN (1931 - 2011),Inkvizícia,PRUKNER ŠTEFAN (1931 - 2011) Inkvizícia,NA,191,400,320,NA,NA,-80
PRUKNER ŠTEFAN (1931 - 2011),Inkvizítor - Boľavý zúbok,PRUKNER ŠTEFAN (1931 - 2011) Inkvizítor - Boľavý zúbok,NA,253,800,800,NA,NA,0
PRUKNER ŠTEFAN (1931 - 2011),Jednoduché stolovanie,PRUKNER ŠTEFAN (1931 - 2011) Jednoduché stolovanie,NA,217,450,750,NA,NA,300
